Gene	"Gene synonym"	Uniprot
FAM168A	"KIAA0280, TCRP1"	Q92567
FAM20A	DKFZp434F2322	Q96MK3
FAM20C	"DKFZp547D065, DMP4, G-CK, IMAGE:4942737"	Q8IXL6
FAM50A	"9F, DXS9928E, HXC-26, XAP5"	Q14320
FAM83D	"C20orf129, CHICA, dJ616B8.3"	Q9H4H8
FAM83H	FLJ46072	Q6ZRV2
FAN1	"KIAA1018, MTMR15"	Q9Y2M0
FANCA	"FA-H, FAA, FACA, FAH, FANCH"	O15360
FANCB	"FAAP95, FAB, FLJ34064"	Q8NB91
FANCC	"FA3, FAC, FACC"	Q00597
FANCD2	"FA-D2, FACD, FAD, FANCD"	Q9BXW9
FANCE	"FACE, FAE"	Q9HB96
FANCF	FAF	Q9NPI8
FANCG	"FAG, XRCC9"	O15287
FANCI	"FLJ10719, KIAA1794"	Q9NVI1
FANCL	"FAAP43, FLJ10335, PHF9, Pog"	Q9NW38
FANCM	"FAAP250, KIAA1596"	Q8IYD8
FAR1	"FLJ22728, MLSTD2, SDR10E1"	Q8WVX9
FARS2	"dJ236A3.1, FARS1, mtPheRS"	O95363
FARSA	"CML33, FARSL, FARSLA"	Q9Y285
FARSB	"FARSLB, FRSB, PheHB"	Q9NSD9
FAS	"APO-1, APT1, CD95, FAS1, TNFRSF6"	P25445
FASLG	"APT1LG1, CD178, FasL, TNFSF6"	P48023
FASTKD2	KIAA0971	Q9NYY8
FAT2	"CDHF8, CDHR9, HFAT2, MEGF1"	Q9NYQ8
FAT4	"CDHF14, CDHR11, FAT-J"	Q6V0I7
FBH1	"Fbx18, FBXO18, FLJ14590"	Q8NFZ0
FBLN1	FBLN	P23142
FBLN5	"ARMD3, DANCE, EVEC, UP50"	Q9UBX5
FBN1	"FBN, MASS, MFS1, OCTD, SGS, WMS"	P35555
FBN2	"CCA, DA9"	P35556
FBP1	FBP	P09467
FBP2		O00757
FBXL3	"FBL3, FBL3A, FBXL3A"	Q9UKT7
FBXL4	"FBL4, FBL5"	Q9UKA2
FBXO10	FBX10	Q9UK96
FBXO11	"FBX11, UBR6"	Q86XK2
FBXO25	FBX25	Q8TCJ0
FBXO28	"CENP-30, Fbx28, FLJ10766, KIAA0483"	Q9NVF7
FBXO31	"FBX14, Fbx31, FBXO14, MGC15419"	Q5XUX0
FBXO32	"ATROGIN1, Fbx32, MAFbx"	Q969P5
FBXO38	"Fbx38, FLJ13962, MOKA, SP329"	Q6PIJ6
FBXO43	Fbx43	Q4G163
FBXO7	"Fbx, FBX7, PARK15"	Q9Y3I1
FBXW11	"BTRC2, BTRCP2, Fbw11, Fbw1b, FBXW1B, Hos, KIAA0696"	Q9UKB1
FBXW4	"dactylin, Fbw4, SHFM3"	P57775
FCGR2B	"CD32, CD32B, FCG2, FcgammaRIIb, FCGR2, FcGRIIB"	P31994
FCGR3A	"CD16, CD16a, FCG3, FcgammaRIIIa, FCGR3, FcGRIIIA"	P08637
FCHO1	KIAA0290	O14526
FCN3	"FCNH, HAKA1"	O75636
FCRL3	"CD307c, FCRH3, IFGP3, IRTA3, SPAP2, SPAP2a, SPAP2b, SPAP2c, SPAP2d, SPAP2e"	Q96P31
FCRL4	"CD307d, FCRH4, IGFP2, IRTA1"	Q96PJ5
FCRL5	"BXMAS1, CD307e, FCRH5, IRTA2"	Q96RD9
FCSK	"FLJ39408, FUK"	Q8N0W3
FDFT1	SQS	P37268
FDPS		P14324
FDX2	"FDX1L, MGC19604"	Q6P4F2
FDXR	"ADR, ADXR"	P22570
FECH		P22830
FEM1C	"EUROIMAGE686608, EUROIMAGE783647, FEM1A, KIAA1785"	Q96JP0
FERMT1	"C20orf42, FLJ20116, KIND1, UNC112A, URP1"	Q9BQL6
FERMT3	"KIND3, MGC10966, MIG2B, UNC112C, URP2"	Q86UX7
FES	FPS	P07332
FEV	Pet-1	Q99581
FEZF1	ZNF312B	A0PJY2
FGA		P02671
FGB		P02675
FGD1	"FGDY, ZFYVE3"	P98174
FGD4	"CMT4H, frabin, FRABP, ZFYVE6"	Q96M96
FGF10		O15520
FGF12	"FGF12B, FHF1"	P61328
FGF13	"FGF2, FHF2, FLJ30672, LINC00889"	Q92913
FGF14	"FHF4, SCA27"	Q92915
FGF16	MF4	O43320
FGF17	FGF-13	O60258
FGF20		Q9NP95
FGF23		Q9GZV9
FGF3	"HBGF-3, INT2"	P11487
FGF5		P12034
FGF8	AIGF	P55075
FGF9		P31371
FGFR1	"BFGFR, CD331, CEK, FLG, FLT2, H2, H3, H4, H5, KAL2, N-SAM"	P11362
FGFR1OP2	DKFZp564O1863	Q9NVK5
FGFR2	"BEK, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25"	P21802
FGFR3	"ACH, CD333, CEK2, JTK4"	P22607
FGFR4	"CD334, JTK2"	P22455
FGG		P02679
FGGY	FLJ10986	Q96C11
FGR	"c-fgr, p55c-fgr, SRC2"	P09769
FH		P07954
FHIT	"AP3Aase, FRA3B"	P49789
FHL1	"bA535K18.1, FHL1B, FLH1A, KYO-T, MGC111107, SLIM1, XMPMA"	Q13642
FHOD3	"FHOS2, FLJ22297, FLJ22717, KIAA1695"	Q2V2M9
FIBP	FGFIBP	O43427
FIG4	"ALS11, CMT4J, dJ249I4.1, hSac3, KIAA0274, SAC3"	Q92562
FIGLA	"bHLHc8, Figalpha"	Q6QHK4
FIP1L1	"DKFZp586K0717, FIP1, hFip1"	Q6UN15
FITM2	"C20orf142, dJ881L22.2, FIT2"	Q8N6M3
FKBP10	"FKBP6, FKBP65, FLJ20683, FLJ22041, FLJ23833, hFKBP65"	Q96AY3
FKBP14	"FKBP22, FLJ20731"	Q9NWM8
FKBP6	"FKBP36, PPIase"	O75344
FKRP	"FKTR, LGMD2I, MDC1C"	Q9H9S5
FKTN	"FCMD, LGMD2M"	O75072
FLAD1	"FAD1, PP591"	Q8NFF5
FLCN	"BHD, DENND8B, MGC17998, MGC23445"	Q8NFG4
FLG		P20930
FLG2	IFPS	Q5D862
FLI1	"EWSR2, FLI-1, SIC-1"	Q01543
FLNA	"ABP-280, FLN, FLN1, OPD1, OPD2"	P21333
FLNB	"ABP-278, FH1, FLN1L, LRS1, TABP, TAP"	O75369
FLNC	"ABP-280, ABPL, FLN2"	Q14315
FLRT3		Q9NZU0
FLT1	"FLT, VEGFR1"	P17948
FLT3	"CD135, FLK2, STK1"	P36888
FLT4	"PCL, VEGFR-3, VEGFR3"	P35916
FLVCR1	"AXPC1, FLVCR, MFSD7B, PCA, SLC49A1"	Q9Y5Y0
FLVCR2	"C14orf58, CCT, FLJ20371, MFSD7C, SLC49A2"	Q9UPI3
FMN2		Q9NZ56
FMO3	FMOII	P31513
FMR1	"FMRP, FRAXA, MGC87458, POF, POF1"	Q06787
FN1	"CIG, FINC, GFND2, LETS, MSF"	P02751
FNBP1	"FBP17, KIAA0554"	Q96RU3
FNIP1	KIAA1961	Q8TF40
FOCAD	"FLJ20375, KIAA1797"	Q5VW36
FOLR1	"FOLR, FRalpha"	P15328
FOXC1	"ARA, FKHL7, FREAC3, IGDA, IHG1, IRID1"	Q12948
FOXC2	"FKHL14, MFH-1"	Q99958
FOXD3	"Genesis, HFH2"	Q9UJU5
FOXE1	"FKHL15, FOXE2, HFKH4, TITF2, TTF-2"	O00358
FOXE3	"FKHL12, FREAC8"	Q13461
FOXF1	"FKHL5, FREAC1"	Q12946
FOXG1	"BF1, FKH2, FKHL1, FKHL2, FKHL3, FKHL4, FOXG1A, FOXG1B, FOXG1C, HBF-3, HFK1, HFK2, HFK3, QIN"	P55316
FOXJ1	"FKHL13, HFH-4, HFH4"	Q92949
FOXL2	"BPES, BPES1"	P58012
FOXN1	"FKHL20, RONU, WHN"	O15353
FOXO1	"FKH1, FKHR, FOXO1A"	Q12778
FOXO3	"AF6q21, FKHRL1, FOXO2, FOXO3A"	O43524
FOXO4	"AFX1, MLLT7"	P98177
FOXP1	"12CC4, hFKH1B, HSPC215, QRF1"	Q9H334
FOXP2	"CAGH44, SPCH1, TNRC10"	O15409
FOXP3	"AIID, DIETER, IPEX, JM2, PIDX, SCURFIN, XPID"	Q9BZS1
FOXR1	"DLNB13, FOXN5"	Q6PIV2
FOXRED1	H17	Q96CU9
FRAS1	"FLJ14927, FLJ22031, KIAA1500"	Q86XX4
FREM1	"C9orf143, C9orf145, C9orf154, DKFZp686M16108, FLJ25461, TILRR"	Q5H8C1
FREM2	DKFZp686J0811	Q5SZK8
FRG1	"FRG1A, FSG1"	Q14331
FRMD4A	"bA295P9.4, FLJ10210, FRMD4, KIAA1294"	Q9P2Q2
FRMD7	"FLJ43346, NYS, NYS1"	Q6ZUT3
FRMPD4	"KIAA0316, PDZD10, PDZK10"	Q14CM0
FRRS1L	"C9orf4, CG-6"	Q9P0K9
FRYL	"AF4p12, DKFZp686E205, KIAA0826, MOR2"	O94915
FRZB	"FRE, FRITZ, FRP-3, FRZB-1, FRZB-PEN, FRZB1, FZRB, hFIZ, SFRP3, SRFP3"	Q92765
FSCN2	"RFSN, RP30"	O14926
FSHB		P01225
FSHR	"FSHRO, LGR1, ODG1"	P23945
FSIP2	FLJ34780	Q5CZC0
FSTL3	"FLRG, FSRP"	O95633
FTCD		O95954
FTH1	"FHC, FTH, FTHL6, PIG15, PLIF"	P02794
FTL	"MGC71996, NBIA3"	P02792
FTO	"ALKBH9, KIAA1752, MGC5149"	Q9C0B1
FTSJ1	"CDLIV, JM23, MRX44, MRX9, SPB1, TRM7, TRMT7"	Q9UET6
FUCA1		P04066
FUS	"ALS6, FUS1, hnRNP-P2, HNRNPP2, TLS"	P35637
FUT8		Q9BYC5
FXN	"CyaY, FA, FARR, FRDA, X25"	Q16595
FXR1		P51114
FXYD2	"ATP1G1, HOMG2, MGC12372"	P54710
FYB1	"ADAP, FYB, FYB-120/130, SLAP-130"	O15117
FYCO1	"FLJ13335, ZFYVE7"	Q9BQS8
FZD2		Q14332
FZD4	"CD344, EVR1"	Q9ULV1
FZD6	Hfz6	O60353
G6PC1	"G6PC, G6PT, GSD1a"	P35575
G6PC3	UGRP	Q9BUM1
G6PD	G6PD1	P11413
GAA		P10253
GAB1	DFNB26	Q13480
GABBR2	"GABABR2, GPR51, GPRC3B, HG20"	O75899
GABRA1	EJM5	P14867
GABRA2		P47869
GABRA5		P31644
GABRB1		P18505
GABRB2		P47870
GABRB3		P28472
GABRD		O14764
GABRG2		P18507
GAD1	GAD	Q99259
GAL	"GAL-GMAP, GALN, GLNN, GMAP"	P22466
GALC		P54803
GALE	SDR1E1	Q14376
GALK1	GALK	P51570
GALM		Q96C23
GALNS	"GalN6S, GALNAC6S, GAS"	P34059
GALNT11	GalNAc-T11	Q8NCW6
GALNT12	GalNAc-T12	Q8IXK2
GALNT17	"GalNAc-T17, GalNAc-T19, GalNAc-T5L, GALNTL3, ppGalNAc-T17, WBSCR17"	Q6IS24
GALNT2	GalNAc-T2	Q10471
GALNT3	"GalNAc-T3, HFTC, HHS"	Q14435
GALNTL5	"GalNAc-T5L, GALNT15"	Q7Z4T8
GALT		P07902
GAMT	"PIG2, TP53I2"	Q14353
GAN	"GAN1, GIG, KLHL16"	Q9H2C0
GANAB	"G2AN, GIIA, GluII, KIAA0088"	Q14697
GARS1	"CMT2D, DSMAV, GARS, GlyRS, SMAD1"	P41250
GAS2L2	GAR17	Q8NHY3
GAS7	"KIAA0394, MGC1348"	O60861
GAS8	"DRC4, GAS11"	O95995
GATA1	"ERYF1, GATA-1, GF1, NF-E1, NFE1"	P15976
GATA2	NFE1B	P23769
GATA3	HDR	P23771
GATA4		P43694
GATA5	"bB379O24.1, GATAS"	Q9BWX5
GATA6		Q92908
GATAD1	"FLJ22489, ODAG, RG083M05.2"	Q8WUU5
GATAD2B	P66beta	Q8WXI9
GATB	"PET112, PET112L"	O75879
GATC	"15E1.2, FLJ37000"	O43716
GATM	AGAT	P50440
GBA1	"GBA, GLUC"	P04062
GBA2	"AD035, DKFZp762K054, KIAA1605, SPG46"	Q9HCG7
GBE1		Q04446
GCDH	"ACAD5, GCD"	Q92947
GCGR	GGR	P47871
GCH1	"DYT14, DYT5, DYT5a, GCH, GTPCH1"	P30793
GCK	"HK4, MODY2"	P35557
GCLC	"GCS, GLCL, GLCLC"	P48506
GCM2	"GCMB, hGCMb"	O75603
GCNA	"ACRC, NAAR1"	Q96QF7
GCNT2	"bA360O19.2, bA421M1.1, CCAT, GCNT5, IGNT, II, NACGT1, NAGCT1, ULG3"	Q8N0V5
GCSH		P23434
GDAP1	"CMT2K, CMT4, CMT4A"	Q8TB36
GDAP2	"dJ776P7.1, FLJ20142, MACROD3"	Q9NXN4
GDF1		P27539
GDF11	"BMP-11, BMP11"	O95390
GDF15	"MIC-1, MIC1, NAG-1, PDF, PLAB, PTGFB"	Q99988
GDF2	"BMP-9, BMP9"	Q9UK05
GDF3		Q9NR23
GDF5	"BMP14, CDMP1"	P43026
GDF6	"BMP13, KFS, KFS1, SGM1"	Q6KF10
GDF9		O60383
GDI1	"FLJ41411, GDIL, MRX41, MRX48, OPHN2, RABGDIA, XAP-4"	P31150
GDNF	"ATF1, ATF2, HFB1-GDNF"	P39905
GEMIN4	"DKFZP434B131, DKFZP434D174, HC56, HCAP1, HHRF-1, p97"	P57678
GEMIN5		Q8TEQ6
GFAP	FLJ45472	P14136
GFER	"ALR, ERV1, HERV1, HPO1, HPO2, HSS"	P55789
GFI1	"GFI-1, GFI1A, ZNF163"	Q99684
GFI1B	ZNF163B	Q5VTD9
GFM1	"EFGM, EGF1, GFM, mtEF-G1"	Q96RP9
GFM2	"EF-G2mt, EFG2, FLJ21661"	Q969S9
GFPT1	"GFA, GFAT, GFAT1, GFPT"	Q06210
GFRA1	"GDNFR, GDNFRA, GFR-ALPHA-1, RET1L, RETL1, TRNR1"	P56159
GGCX	VKCFD1	P38435
GGN	"FLJ35713, MGC33369"	Q86UU5
GGPS1	GGPPS1	O95749
GGT1	"CD224, D22S672, D22S732, GGT"	P19440
GH1	"GH, GH-N, GHN, hGH-N"	P01241
GHR	GHBP	P10912
GHRHR		Q02643
GHSR		Q92847
GIGYF2	"GYF2, KIAA0642, PARK11, PERQ2, PERQ3, TNRC15"	Q6Y7W6
GIMAP5	"HIMAP3, IAN4L1, IAN5"	Q96F15
GINS1	"KIAA0186, PSF1"	Q14691
GIPC1	"C19orf3, GIPC, GLUT1CBP, Hs.6454, NIP, RGS19IP1, SEMCAP, SYNECTIN, TIP-2"	O14908
GIPC3	"C19orf64, DFNB15, DFNB72, DFNB95"	Q8TF64
GJA1	"CX43, GJAL, ODD, ODDD, ODOD, SDTY3"	P17302
GJA3	"CX46, CZP3"	Q9Y6H8
GJA5	CX40	P36382
GJA8	"CAE, CAE1, CX50, CZP1"	P48165
GJB1	"CMTX, CMTX1, CX32"	P08034
GJB2	"CX26, DFNA3, DFNB1, NSRD1"	P29033
GJB3	"CX31, DFNA2, EKV"	O75712
GJB4	CX30.3	Q9NTQ9
GJB6	"CX30, DFNA3, ED2, EDH, HED"	O95452
GJC2	"CX46.6, CX47, GJA12, SPG44"	Q5T442
GK	"GK1, GKD"	P32189
GLA	GALA	P06280
GLB1	"EBP, ELNR1"	P16278
GLDC	"GCSP, NKH"	P23378
GLDN	"CLOM, COLM, colmedin, CRG-L2, UNC-122"	Q6ZMI3
GLE1	"GLE1L, hGLE1, LCCS1"	Q53GS7
GLI1	GLI	P08151
GLI2	"HPE9, THP1, THP2"	P10070
GLI3	"ACLS, GCPS, PAP-A, PAPA, PAPA1, PAPB, PHS, PPDIV"	P10071
GLIS2	NPHP7	Q9BZE0
GLIS3	"MGC33662, ZNF515"	Q8NEA6
GLMN	"FAP48, FAP68, FKBPAP, GLML, GVM, VMGLOM"	Q92990
GLRA1	STHE	P23415
GLRA2	GLR	P23416
GLRB		P48167
GLRX5	"C14orf87, GRX5, PR01238"	Q86SX6
GLS	"GAC, GAM, GLS1, KGA, KIAA0838"	O94925
GLUD1	"GDH, GDH1, GLUD, hGDH1"	P00367
GLUL	GLNS	P15104
GLYCTK	"HBEBP2, HBEBP4"	Q8IVS8
GM2A	"GM2-AP, GM2AP, SAP-3"	P17900
GMNN	Gem	O75496
GMPPA		Q96IJ6
GMPPB	KIAA1851	Q9Y5P6
GMPS	GATD7	P49915
GNA11	"FBH, FBH2, FHH2, HHC2"	P29992
GNAI1		P63096
GNAI3	87U6	P08754
GNAL		P38405
GNAO1	G-ALPHA-o	P09471
GNAQ	"G-ALPHA-q, GAQ"	P50148
GNAS	"GNAS1, GNASXL, GPSA, NESP, NESP55, SCG6, SgVI"	"O95467, P63092, Q5JWF2"
GNAT1	CSNBAD3	P11488
GNAT2	ACHM4	P19087
GNB1		P62873
GNB2		P62879
GNB3		P16520
GNB4		Q9HAV0
GNB5	GB5	O14775
GNE	"IBM2, Uae1"	Q9Y223
GNMT		Q14749
GNPAT	"DAP-AT, DAPAT, DHAPAT"	O15228
GNPNAT1	"FLJ10607, Gpnat1"	Q96EK6
GNPTAB	"GNPTA, KIAA1208, MGC4170"	Q3T906
GNPTG	"C16orf27, c316G12.3, CAB56184, GNPTAG"	Q9UJJ9
GNRH1	"GNRH, GRH, LHRH"	P01148
GNRHR	"GRHR, LHRHR"	P30968
GNS		P15586
GOLGA5	"golgin-84, GOLIM5, ret-II, rfg5"	Q8TBA6
GON7	C14orf142	Q9BXV9
GOPC	"CAL, dJ94G16.2, FIG, GOPC1, PIST"	Q9HD26
GORAB	"FLJ11752, GO, NTKL-BP1, SCYL1BP1"	Q5T7V8
GOSR2	"Bos1, GS27"	O14653
GOT2	"KAT4, KATIV, KYAT4, mitAAT"	P00505
GP1BA	"CD42b, GP1B, GPIbalpha"	P07359
GP1BB	"CD42c, GPIbbeta"	P13224
GP6	GPVI	Q9HCN6
GP9	"CD42a, GPIX"	P14770
GPAA1	"GAA1, hGAA1"	O43292
GPATCH3	"FLJ12455, GPATC3"	Q96I76
GPC1	glypican	P35052
GPC3	"DGSX, OCI-5, SDYS, SGB, SGBS, SGBS1"	P51654
GPC4	K-glypican	O75487
GPC6		Q9Y625
GPD1		P21695
GPD1L	KIAA0089	Q8N335
GPHN	KIAA1385	Q9NQX3
GPI	"AMF, NLK"	P06744
GPIHBP1	"GPI-HBP1, LOC338328"	Q8IV16
GPNMB	"HGFIN, NMB"	Q14956
GPR101		Q96P66
GPR143	OA1	P51810
GPR161	RE2	Q8N6U8
GPR68	OGR1	Q15743
GPR88		Q9GZN0
GPRASP2	"FLJ37327, GASP2"	Q96D09
GPSM2	"DFNB82, LGN, Pins"	P81274
GPT2	ALT2	Q8TD30
GPX4	"MCSP, PHGPx"	P36969
GPX7	"FLJ14777, GPX6, NPGPx"	Q96SL4
GRAP		Q13588
GREB1L	"C18orf6, FLJ13687, KIAA1772"	Q9C091
GREM1	"CKTSF1B1, CRAC1, DAND2, DRM, gremlin, HMPS"	O60565
GREM2	"CKTSF1B2, DAND3, FLJ21195, Prdc"	Q9H772
GRHL2	"BOM, DFNA28, FLJ13782, TFCP2L3"	Q6ISB3
GRHL3	"SOM, TFCP2L4"	Q8TE85
GRHPR	"GLXR, PH2"	Q9UBQ7
GRIA1	"GluA1, GLUR1, GLURA"	P42261
GRIA2	"GluA2, GLUR2, GLURB"	P42262
GRIA3	"GluA3, GLUR3, GLURC, MRX94"	P42263
GRIA4	"GluA4, GLUR4, GLURD"	P48058
GRID2	"GluD2, GluR-delta-2"	O43424
GRIK2	"GluK2, GLUR6, MRT6"	Q13002
GRIN1	"GluN1, NMDAR1"	Q05586
GRIN2A	"GluN2A, NMDAR2A"	Q12879
GRIN2B	"GluN2B, NMDAR2B"	Q13224
GRIN2D	"EB11, GluN2D, NMDAR2D, NR2D"	O15399
GRIP1		Q9Y3R0
GRK1	"GPRK1, RHOK, RK"	Q15835
GRM1	"GPRC1A, mGlu1, MGLUR1, PPP1R85"	Q13255
GRM6	"CSNB1B, GPRC1F, mGlu6, MGLUR6"	O15303
GRM7	"GLUR7, GPRC1G, mGlu7, MGLUR7, PPP1R87"	Q14831
GRN	"CLN11, PCDGF, PGRN"	P28799
GRXCR1	"DFNB25, PPP1R88"	A8MXD5
GRXCR2	DFNB101	A6NFK2
GSC		P56915
GSDME	"DFNA5, ICERE-1"	O60443
GSN	DKFZp313L0718	P06396
GSR		P00390
GSS		P48637
GSTZ1	"GSTZ1-1, MAAI, MAI"	O43708
GSX2	Gsh2	Q9BZM3
GTF2E2	"FE, TF2E2, TFIIE-B"	P29084
GTF2H5	"bA120J8.2, C6orf175, FLJ30544, TFB5, TFIIH, TTD, TTD-A, TTDA"	Q6ZYL4
GTF2I	"BAP-135, BTKAP1, DIWS, IB291, SPIN, TFII-I, WBSCR6"	P78347
GTF2IRD1	"BEN, Cream1, GTF3, MusTRD1, RBAP2, WBSCR11, WBSCR12"	Q9UHL9
GTF2IRD2	"FLJ37938, GTF2IRD2A"	Q86UP8
GTF2IRD2B		Q6EKJ0
GTPBP2		Q9BX10
GTPBP3	"FLJ14700, GTPBG3, MSS1, MTGP1, THDF1"	Q969Y2
GUCA1A	"C6orf131, COD3, CORD14, dJ139D8.6, GCAP, GCAP1, GUCA, GUCA1"	P43080
GUCA1B	"GCAP2, RP48"	Q9UMX6
GUCY1A1	"GC-SA3, GUC1A3, GUCY1A3"	Q02108
GUCY2C	"GUC2C, STAR"	P25092
GUCY2D	"CORD6, CYGD, GUC1A4, GUC2D, LCA, LCA1, retGC, RETGC-1, ROS-GC1"	Q02846
GUF1	FLJ13220	Q8N442
GUSB		P08236
GYG1	GYG	P46976
GYS1	"GSY, GYS"	P13807
GYS2		P54840
GZF1	"dJ322G13.2, ZBTB23, ZNF336"	Q9H116
H1-4	"H1.4, H1e, H1F4, H1s-4, HIST1H1E"	P10412
H3-3A	"H3.3A, H3F3, H3F3A"	P84243
H3-3B	"H3.3B, H3F3B"	P84243
H3C1	"H3/A, H3FA, HIST1H3A"	P68431
H3C10	"H3/k, H3F1K, H3FK, HIST1H3H"	P68431
H3C11	"H3.f, H3/f, H3FF, HIST1H3I"	P68431
H3C12	"H3/j, H3FJ, HIST1H3J"	P68431
H3C2	"H3/l, H3FL, HIST1H3B"	P68431
H3C3	"H3.1, H3/c, H3FC, HIST1H3C"	P68431
H3C4	"H3/b, H3FB, HIST1H3D"	P68431
H3C6	"H3.1, H3/d, H3FD, HIST1H3E"	P68431
H3C7	"H3/i, H3FI, HIST1H3F"	P68431
H3C8	"H3/h, H3FH, HIST1H3G"	P68431
H4C1	"H4FA, HIST1H4A"	P62805
H4C11	"H4/e, H4F2iv, H4FE, HIST1H4J"	P62805
H4C12	"dJ160A22.1, H4/d, H4F2iii, H4FD, HIST1H4K"	P62805
H4C13	"H4.k, H4/k, H4FK, HIST1H4L"	P62805
H4C14	"H4/n, H4F2, H4FN, HIST2H4, HIST2H4A"	P62805
H4C15	"H4/o, HIST2H4B"	P62805
H4C16	"H4-16, HIST4H4, MGC24116"	P62805
H4C2	"H4/I, H4FI, HIST1H4B"	P62805
H4C3	"dJ221C16.1, H4/g, H4FG, HIST1H4C"	P62805
H4C4	"H4/b, H4FB, HIST1H4D"	P62805
H4C5	"H4/j, H4FJ, HIST1H4E"	P62805
H4C6	"H4, H4/c, H4FC, HIST1H4F"	P62805
H4C8	"H4/h, H4FH, HIST1H4H"	P62805
H4C9	"H4/m, H4FM, HIST1H4I"	P62805
H6PD	"GDH, H6PDH"	O95479
HAAO		P46952
HABP2	"FSAP, HABP, HGFAL, PHBP"	Q14520
HACD1	"CAP, PTPLA"	B0YJ81
HACE1	KIAA1320	Q8IYU2
HADH	"HADH1, HADHSC, SCHAD"	Q16836
HADHA	"GBP, LCEH, LCHAD, MTPA"	P40939
HADHB	MTPB	P55084
HAL	HIS	P42357
HAMP	"HEPC, HFE2B, LEAP-1, LEAP1"	P81172
HARS1	"HARS, HisRS, USH3B"	P12081
HARS2	"HARSL, HARSR, HO3"	P49590
HAS2		Q92819
HAVCR2	"CD366, FLJ14428, Tim-3, TIM3, TIMD3"	Q8TDQ0
HAX1	"HAX-1, HCLSBP1, HS1BP1"	O00165
HBA1	HBA-T3	P69905
HBA2	HBA-T2	P69905
HBB	"beta-globin, CD113t-C"	P68871
HBG2	HBG-T1	P69892
HCCS	"CCHL, MLS"	P53701
HCFC1	"CFF, HCF-1, HCF1, HFC1, MGC70925, MRX3, PPP1R89, VCAF"	P51610
HCK	JTK9	P08631
HCN1	"BCNG-1, BCNG1, HAC-2"	O60741
HCN2	"BCNG-2, BCNG2, HAC-1"	Q9UL51
HCN4		Q9Y3Q4
HCRT	"OX, PPOX"	O43612
HDAC10	DKFZP761B039	Q969S8
HDAC4	"BDMR, HA6116, HD4, HDAC-4, HDAC-A, HDACA, KIAA0288"	P56524
HDAC6	"FLJ16239, HD6, JM21, KIAA0901, PPP1R90"	Q9UBN7
HDAC8	"HDACL1, KDAC8, MRXS6, RPD3, WTS"	Q9BY41
HDAC9	"HD7, HDAC, HDAC7B, KIAA0744, MITR"	Q9UKV0
HECW2	"KIAA1301, NEDL2"	Q9P2P5
HELLS	"LSH, Nbla10143, PASG, SMARCA6"	Q9NRZ9
HEPACAM	"FLJ25530, GLIALCAM"	Q14CZ8
HEPHL1	"DKFZp686F22190, Zp"	Q6MZM0
HERC1	"p532, p619"	Q15751
HERC2	"D15F37S1, jdf2, p528"	O95714
HES7	bHLHb37	Q9BYE0
HESX1	"ANF, RPX"	Q9UBX0
HEXA		P06865
HEXB		P07686
HFE	"HFE1, HLA-H"	Q30201
HGD	"AKU, HGO"	Q93099
HGF	"DFNB39, F-TCF, HGFB, HPTA, SF"	P14210
HGSNAT	"FLJ32731, HGNAT, TMEM76"	Q68CP4
HHAT	"FLJ10724, GUP2, MART-2, MART2, rasp, sit, ski, Skn"	Q5VTY9
HIBCH		Q6NVY1
HID1	"C17orf28, DMC1, HID-1"	Q8IV36
HIKESHI	"C11orf73, HSPC138, HSPC179, OPI10"	Q53FT3
HINT1	"HINT, PKCI-1, PRKCNH1"	P49773
HIP1	ILWEQ	O00291
HIVEP2	"HIV-EP2, MBP-2, MIBP1, Schnurri-2, ZAS2, ZNF40B"	P31629
HJV	"haemojuvelin, hemojuvelin, HFE2, HFE2A, JH, RGMC"	Q6ZVN8
HK1		P19367
HKDC1	"FLJ22761, FLJ37767"	Q2TB90
HLA-A		P04439
HLA-B	AS	P01889
HLA-C	"D6S204, HLA-JY3, PSORS1"	P10321
HLA-DRB1	HLA-DR1B	P01911
HLCS	HCS	P50747
HLF	MGC33822	Q16534
HMBS	"PBGD, PORC, UPS"	P08397
HMCN1	"ARMD1, FBLN6, FIBL-6, FIBL6"	Q96RW7
HMGA1	HMGIY	P17096
HMGA2	"BABL, HMGIC, LIPO"	P52926
HMGB3	"HMG2A, HMG4, MGC90319"	O15347
HMGCL	HL	P35914
HMGCS2		P54868
HMOX1	"bK286B10, HO-1"	P09601
HMX1	"H6, NKX5-3"	Q9NP08
HNF1B	"HNF1beta, LFB3, MODY5, TCF2, VHNF1"	P35680
HNF4A	"HNF4, MODY, MODY1, NR2A1, TCF14"	P41235
HNMT		P50135
HNRNPA1	"ALS20, hnRNP-A1, HNRPA1"	P09651
HNRNPA2B1	HNRPA2B1	P22626
HNRNPDL	"HNRPDL, JKTBP, laAUF1, LGMD1G"	O14979
HNRNPH2	"FTP3, hnRNPH', HNRPH', HNRPH2"	P55795
HNRNPK	"CSBP, HNRPK, TUNP"	P61978
HNRNPU	"C1orf199, FLJ30202, FLJ37978, HNRNPU-AS1, HNRPU, NCRNA00201, SAF-A"	Q00839
HOGA1	"C10orf65, DHDPS2, DHDPSL, FLJ37472, NPL2"	Q86XE5
